latitude,longitude,uuid,gattung_botanisch,gattung_deutsch,art_botanisch,art_deutsch,alleebaum,hoehe,stammdurchmesser,stammumfang,kronendurchmesser,baumpatenschaft
54.1043027062553,12.1775593768672,8e483e53-ed1f-45b1-80c9-7f13bbefb4ff,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,26.00,81.68,5.00,0
54.1741731212339,12.052739616713,f44e8c68-101c-400f-8998-ddf7012b375a,Betula,Birke,Betula pendula,Sand-Birke,0,22.00,35.97,113.00,10.00,0
54.1095702007268,12.1701873716096,69b79dad-2b27-4aa2-95d0-5983c785f7ce,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.0917505938248,12.1488793506012,75bea25a-1da0-4e4f-a895-2f073d2633dd,Betula,Birke,Betula pendula,Sand-Birke,0,9.00,20.00,62.83,3.00,0
54.0714675733202,12.0916929955725,6344af25-abc4-461d-b01c-e921592d0a50,Picea,Fichte,Picea orientalis,Orient-Fichte,0,18.00,39.00,122.52,4.00,0
54.1087797467353,12.1713666561261,9f28e93f-a6cd-4f48-94e5-d282f06596c1,Tilia,Linde,Tilia cordata,Winter-Linde,1,13.00,25.00,78.54,5.00,0
54.1397327371453,12.1750832641435,56b4e335-880a-48f1-b069-1424b46c5069,Fraxinus,Esche,Fraxinus species,Esche,0,5.50,11.00,34.56,4.50,0
54.1116811986698,12.165985439064,8bd0243e-117d-41f7-86dd-177cdb482883,Tilia,Linde,Tilia platyphyllos,Sommer-Linde,1,12.00,25.00,78.54,5.00,0
54.092753530686,12.1527134913478,fdec4de4-c629-4c94-b1f7-69cfb8c46c53,Alnus,Erle,Alnus species,Erle,0,6.50,12.00,37.70,5.00,0
54.1035032505619,12.1793697706125,14a40a2f-7735-4cf0-9f52-dfaf4029d904,Platanus,Platane,Platanus x acerifolia,Gewöhnliche Platane,0,3.00,7.00,22.00,1.70,0
54.1049315323893,12.1770492284857,7da6e10e-f399-493c-88cb-3143f2424a21,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1113808232221,12.1666922520288,684b5656-44e3-497c-8046-39c73df62418,Tilia,Linde,Tilia platyphyllos,Sommer-Linde,1,12.00,25.00,78.54,5.00,0
54.1063404814069,12.1754347304936,a64c8069-efeb-4e41-8de0-ee3fc2740821,Tilia,Linde,Tilia cordata,Winter-Linde,1,13.00,26.00,81.68,6.00,0
54.1062324655075,12.175605638684,76407cda-5cdd-40ef-96b3-ef621c638a2a,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.095802085266,12.152420882217,7a43fa96-8993-4fea-a051-46bee45490e5,Sorbus,Mehlbeere,Sorbus aria,Mehlbeere,0,5.00,18.00,56.55,2.00,0
54.1060155144197,12.1759159961781,13f38d4a-31ad-4332-9142-f6efc17318d2,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,26.00,81.68,6.00,0
54.1084772594215,12.1717670386321,fc8c8b6e-5118-4d77-aeb3-8703ed3d0e60,Tilia,Linde,Tilia cordata,Winter-Linde,0,12.00,25.00,78.54,5.00,0
54.0923405028365,12.152589453697,9ce6f71a-0d72-4305-be9f-d72ea732c2f6,Betula,Birke,Betula species,Birke,0,8.00,9.00,28.27,3.00,0
54.1114670247293,12.1664889689716,6cb0c0cb-38f6-427c-ab3c-48a0dbe0601d,Tilia,Linde,Tilia platyphyllos,Sommer-Linde,1,12.00,25.00,78.54,5.00,0
54.1115098526717,12.1663910183129,c174b61d-1521-4250-ba39-20e4a9e6a057,Tilia,Linde,Tilia platyphyllos,Sommer-Linde,1,14.00,25.00,78.54,5.00,0
54.1381166759507,12.045033634954,ea5d2f88-764b-4d60-8047-8e24c6717722,Acer,Ahorn,Acer pseudoplatanus,Berg-Ahorn,1,10.00,35.00,109.96,8.00,0
54.1042907689382,12.1666938760019,c3dcb210-ac77-4e08-8e7c-1c7459c276c6,Fraxinus,Esche,Fraxinus excelsior,Gemeine Esche,1,5.00,25.00,78.54,4.50,0
54.1058480345487,12.1761200157336,c476a320-47fc-4a00-9d67-d4293196d0cd,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1062877320393,12.1755201756033,37485fda-d954-4e65-ae27-4db3f2ae60a2,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1082809476811,12.1720982148654,d8048012-1dc3-41a0-9135-1f6efd89fa1a,Tilia,Linde,Tilia cordata,Winter-Linde,0,12.00,26.00,81.68,6.00,0
54.0905225845276,12.0887633658133,ef30d9c7-5470-4f86-a86a-224a9523b841,Betula,Birke,Betula pendula,Sand-Birke,0,17.00,52.00,163.36,6.00,0
54.1061276777458,12.1757608730548,1cad29c6-15a1-4745-b937-5c4d8a8051c2,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1082946401589,12.1722063798365,db7df2e3-cf0b-474d-a44e-6cf9c2edc1ad,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1049945405338,12.1769985867401,41fbac7b-634f-4328-b9bd-3e1f73f8bf2c,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1065997821587,12.1749943395922,390df4ed-644d-4316-88c1-c6eac4187ed5,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1050622633496,12.1769457883533,dbc0b683-d202-4f43-b9f9-ad13064a5f61,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1057284671638,12.1762546789287,7250a333-943a-4e10-abab-b928fcd0f077,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1067016427118,12.1748178797652,eaf16184-96ea-433f-9bdc-152541aff5a6,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
